image,class_id,class_type,time_of_day,range,orientation
INPUT\Dataset\cegr1923\cegr01923_0001_1000_PICKUP.mat,0001,PICKUP,Night,1000,1000
INPUT\Dataset\cegr1923\cegr01923_0001_1001_PICKUP.mat,0001,PICKUP,Night,1000,1001
INPUT\Dataset\cegr1923\cegr01923_0001_1002_PICKUP.mat,0001,PICKUP,Night,1000,1002
INPUT\Dataset\cegr1923\cegr01923_0001_1003_PICKUP.mat,0001,PICKUP,Night,1000,1003
INPUT\Dataset\cegr1923\cegr01923_0001_1004_PICKUP.mat,0001,PICKUP,Night,1000,1004
INPUT\Dataset\cegr1923\cegr01923_0001_1005_PICKUP.mat,0001,PICKUP,Night,1000,1005
INPUT\Dataset\cegr1923\cegr01923_0001_1006_PICKUP.mat,0001,PICKUP,Night,1000,1006
INPUT\Dataset\cegr1923\cegr01923_0001_1007_PICKUP.mat,0001,PICKUP,Night,1000,1007
INPUT\Dataset\cegr1923\cegr01923_0001_1008_PICKUP.mat,0001,PICKUP,Night,1000,1008
INPUT\Dataset\cegr1923\cegr01923_0001_1009_PICKUP.mat,0001,PICKUP,Night,1000,1009
INPUT\Dataset\cegr1923\cegr01923_0001_1010_PICKUP.mat,0001,PICKUP,Night,1000,1010
INPUT\Dataset\cegr1923\cegr01923_0001_1011_PICKUP.mat,0001,PICKUP,Night,1000,1011
INPUT\Dataset\cegr1923\cegr01923_0001_1012_PICKUP.mat,0001,PICKUP,Night,1000,1012
INPUT\Dataset\cegr1923\cegr01923_0001_1013_PICKUP.mat,0001,PICKUP,Night,1000,1013
INPUT\Dataset\cegr1923\cegr01923_0001_1014_PICKUP.mat,0001,PICKUP,Night,1000,1014
INPUT\Dataset\cegr1923\cegr01923_0001_1015_PICKUP.mat,0001,PICKUP,Night,1000,1015
INPUT\Dataset\cegr1923\cegr01923_0001_1016_PICKUP.mat,0001,PICKUP,Night,1000,1016
INPUT\Dataset\cegr1923\cegr01923_0001_1017_PICKUP.mat,0001,PICKUP,Night,1000,1017
INPUT\Dataset\cegr1923\cegr01923_0001_1018_PICKUP.mat,0001,PICKUP,Night,1000,1018
INPUT\Dataset\cegr1923\cegr01923_0001_1019_PICKUP.mat,0001,PICKUP,Night,1000,1019
INPUT\Dataset\cegr1923\cegr01923_0001_1020_PICKUP.mat,0001,PICKUP,Night,1000,1020
INPUT\Dataset\cegr1923\cegr01923_0001_1021_PICKUP.mat,0001,PICKUP,Night,1000,1021
INPUT\Dataset\cegr1923\cegr01923_0001_1022_PICKUP.mat,0001,PICKUP,Night,1000,1022
INPUT\Dataset\cegr1923\cegr01923_0001_1023_PICKUP.mat,0001,PICKUP,Night,1000,1023
INPUT\Dataset\cegr1923\cegr01923_0001_1024_PICKUP.mat,0001,PICKUP,Night,1000,1024
INPUT\Dataset\cegr1923\cegr01923_0001_1025_PICKUP.mat,0001,PICKUP,Night,1000,1025
INPUT\Dataset\cegr1923\cegr01923_0001_1026_PICKUP.mat,0001,PICKUP,Night,1000,1026
INPUT\Dataset\cegr1923\cegr01923_0001_1027_PICKUP.mat,0001,PICKUP,Night,1000,1027
INPUT\Dataset\cegr1923\cegr01923_0001_1028_PICKUP.mat,0001,PICKUP,Night,1000,1028
INPUT\Dataset\cegr1923\cegr01923_0001_1029_PICKUP.mat,0001,PICKUP,Night,1000,1029
INPUT\Dataset\cegr1923\cegr01923_0001_1030_PICKUP.mat,0001,PICKUP,Night,1000,1030
INPUT\Dataset\cegr1923\cegr01923_0001_1031_PICKUP.mat,0001,PICKUP,Night,1000,1031
INPUT\Dataset\cegr1923\cegr01923_0001_1032_PICKUP.mat,0001,PICKUP,Night,1000,1032
INPUT\Dataset\cegr1923\cegr01923_0001_1033_PICKUP.mat,0001,PICKUP,Night,1000,1033
INPUT\Dataset\cegr1923\cegr01923_0001_1034_PICKUP.mat,0001,PICKUP,Night,1000,1034
INPUT\Dataset\cegr1923\cegr01923_0001_1035_PICKUP.mat,0001,PICKUP,Night,1000,1035
INPUT\Dataset\cegr1923\cegr01923_0001_1036_PICKUP.mat,0001,PICKUP,Night,1000,1036
INPUT\Dataset\cegr1923\cegr01923_0001_1037_PICKUP.mat,0001,PICKUP,Night,1000,1037
INPUT\Dataset\cegr1923\cegr01923_0001_1038_PICKUP.mat,0001,PICKUP,Night,1000,1038
INPUT\Dataset\cegr1923\cegr01923_0001_1039_PICKUP.mat,0001,PICKUP,Night,1000,1039
INPUT\Dataset\cegr1923\cegr01923_0001_1040_PICKUP.mat,0001,PICKUP,Night,1000,1040
INPUT\Dataset\cegr1923\cegr01923_0001_1041_PICKUP.mat,0001,PICKUP,Night,1000,1041
INPUT\Dataset\cegr1923\cegr01923_0001_1042_PICKUP.mat,0001,PICKUP,Night,1000,1042
INPUT\Dataset\cegr1923\cegr01923_0001_1043_PICKUP.mat,0001,PICKUP,Night,1000,1043
INPUT\Dataset\cegr1923\cegr01923_0001_1044_PICKUP.mat,0001,PICKUP,Night,1000,1044
INPUT\Dataset\cegr1923\cegr01923_0001_1045_PICKUP.mat,0001,PICKUP,Night,1000,1045
INPUT\Dataset\cegr1923\cegr01923_0001_1046_PICKUP.mat,0001,PICKUP,Night,1000,1046
INPUT\Dataset\cegr1923\cegr01923_0001_1047_PICKUP.mat,0001,PICKUP,Night,1000,1047
INPUT\Dataset\cegr1923\cegr01923_0001_1048_PICKUP.mat,0001,PICKUP,Night,1000,1048
INPUT\Dataset\cegr1923\cegr01923_0001_1049_PICKUP.mat,0001,PICKUP,Night,1000,1049
INPUT\Dataset\cegr1923\cegr01923_0001_1050_PICKUP.mat,0001,PICKUP,Night,1000,1050
INPUT\Dataset\cegr1923\cegr01923_0001_1051_PICKUP.mat,0001,PICKUP,Night,1000,1051
INPUT\Dataset\cegr1923\cegr01923_0001_1052_PICKUP.mat,0001,PICKUP,Night,1000,1052
INPUT\Dataset\cegr1923\cegr01923_0001_1053_PICKUP.mat,0001,PICKUP,Night,1000,1053
INPUT\Dataset\cegr1923\cegr01923_0001_1054_PICKUP.mat,0001,PICKUP,Night,1000,1054
INPUT\Dataset\cegr1923\cegr01923_0001_1055_PICKUP.mat,0001,PICKUP,Night,1000,1055
INPUT\Dataset\cegr1923\cegr01923_0001_1056_PICKUP.mat,0001,PICKUP,Night,1000,1056
INPUT\Dataset\cegr1923\cegr01923_0001_1057_PICKUP.mat,0001,PICKUP,Night,1000,1057
INPUT\Dataset\cegr1923\cegr01923_0001_1058_PICKUP.mat,0001,PICKUP,Night,1000,1058
INPUT\Dataset\cegr1923\cegr01923_0001_1059_PICKUP.mat,0001,PICKUP,Night,1000,1059
INPUT\Dataset\cegr1923\cegr01923_0001_1060_PICKUP.mat,0001,PICKUP,Night,1000,1060
INPUT\Dataset\cegr1923\cegr01923_0001_1061_PICKUP.mat,0001,PICKUP,Night,1000,1061
INPUT\Dataset\cegr1923\cegr01923_0001_1062_PICKUP.mat,0001,PICKUP,Night,1000,1062
INPUT\Dataset\cegr1923\cegr01923_0001_1063_PICKUP.mat,0001,PICKUP,Night,1000,1063
INPUT\Dataset\cegr1923\cegr01923_0001_1064_PICKUP.mat,0001,PICKUP,Night,1000,1064
INPUT\Dataset\cegr1923\cegr01923_0001_1065_PICKUP.mat,0001,PICKUP,Night,1000,1065
INPUT\Dataset\cegr1923\cegr01923_0001_1066_PICKUP.mat,0001,PICKUP,Night,1000,1066
INPUT\Dataset\cegr1923\cegr01923_0001_1067_PICKUP.mat,0001,PICKUP,Night,1000,1067
INPUT\Dataset\cegr1923\cegr01923_0001_1068_PICKUP.mat,0001,PICKUP,Night,1000,1068
INPUT\Dataset\cegr1923\cegr01923_0001_1069_PICKUP.mat,0001,PICKUP,Night,1000,1069
INPUT\Dataset\cegr1923\cegr01923_0001_1070_PICKUP.mat,0001,PICKUP,Night,1000,1070
INPUT\Dataset\cegr1923\cegr01923_0001_1071_PICKUP.mat,0001,PICKUP,Night,1000,1071
INPUT\Dataset\cegr1923\cegr01923_0001_1072_PICKUP.mat,0001,PICKUP,Night,1000,1072
INPUT\Dataset\cegr1923\cegr01923_0001_1073_PICKUP.mat,0001,PICKUP,Night,1000,1073
INPUT\Dataset\cegr1923\cegr01923_0001_1074_PICKUP.mat,0001,PICKUP,Night,1000,1074
INPUT\Dataset\cegr1923\cegr01923_0001_1075_PICKUP.mat,0001,PICKUP,Night,1000,1075
INPUT\Dataset\cegr1923\cegr01923_0001_1076_PICKUP.mat,0001,PICKUP,Night,1000,1076
INPUT\Dataset\cegr1923\cegr01923_0001_1077_PICKUP.mat,0001,PICKUP,Night,1000,1077
INPUT\Dataset\cegr1923\cegr01923_0001_1078_PICKUP.mat,0001,PICKUP,Night,1000,1078
INPUT\Dataset\cegr1923\cegr01923_0001_1079_PICKUP.mat,0001,PICKUP,Night,1000,1079
INPUT\Dataset\cegr1923\cegr01923_0001_1080_PICKUP.mat,0001,PICKUP,Night,1000,1080
INPUT\Dataset\cegr1923\cegr01923_0001_1081_PICKUP.mat,0001,PICKUP,Night,1000,1081
INPUT\Dataset\cegr1923\cegr01923_0001_1082_PICKUP.mat,0001,PICKUP,Night,1000,1082
INPUT\Dataset\cegr1923\cegr01923_0001_1083_PICKUP.mat,0001,PICKUP,Night,1000,1083
INPUT\Dataset\cegr1923\cegr01923_0001_1084_PICKUP.mat,0001,PICKUP,Night,1000,1084
INPUT\Dataset\cegr1923\cegr01923_0001_1085_PICKUP.mat,0001,PICKUP,Night,1000,1085
INPUT\Dataset\cegr1923\cegr01923_0001_1086_PICKUP.mat,0001,PICKUP,Night,1000,1086
INPUT\Dataset\cegr1923\cegr01923_0001_1087_PICKUP.mat,0001,PICKUP,Night,1000,1087
INPUT\Dataset\cegr1923\cegr01923_0001_1088_PICKUP.mat,0001,PICKUP,Night,1000,1088
INPUT\Dataset\cegr1923\cegr01923_0001_1089_PICKUP.mat,0001,PICKUP,Night,1000,1089
INPUT\Dataset\cegr1923\cegr01923_0001_1090_PICKUP.mat,0001,PICKUP,Night,1000,1090
INPUT\Dataset\cegr1923\cegr01923_0001_1091_PICKUP.mat,0001,PICKUP,Night,1000,1091
INPUT\Dataset\cegr1923\cegr01923_0001_1092_PICKUP.mat,0001,PICKUP,Night,1000,1092
INPUT\Dataset\cegr1923\cegr01923_0001_1093_PICKUP.mat,0001,PICKUP,Night,1000,1093
INPUT\Dataset\cegr1923\cegr01923_0001_1094_PICKUP.mat,0001,PICKUP,Night,1000,1094
INPUT\Dataset\cegr1923\cegr01923_0001_1095_PICKUP.mat,0001,PICKUP,Night,1000,1095
INPUT\Dataset\cegr1923\cegr01923_0001_1096_PICKUP.mat,0001,PICKUP,Night,1000,1096
INPUT\Dataset\cegr1923\cegr01923_0001_1097_PICKUP.mat,0001,PICKUP,Night,1000,1097
INPUT\Dataset\cegr1923\cegr01923_0001_1098_PICKUP.mat,0001,PICKUP,Night,1000,1098
INPUT\Dataset\cegr1923\cegr01923_0001_1099_PICKUP.mat,0001,PICKUP,Night,1000,1099
INPUT\Dataset\cegr1923\cegr01923_0001_1100_PICKUP.mat,0001,PICKUP,Night,1000,1100
INPUT\Dataset\cegr1923\cegr01923_0001_1101_PICKUP.mat,0001,PICKUP,Night,1000,1101
INPUT\Dataset\cegr1923\cegr01923_0001_1102_PICKUP.mat,0001,PICKUP,Night,1000,1102
INPUT\Dataset\cegr1923\cegr01923_0001_1103_PICKUP.mat,0001,PICKUP,Night,1000,1103
